complaint_id,date_raised,city,ward,location,description,reported_by,days_open,category,priority,reason,flag
PM-202401,2024-06-21,Pune,Ward 4 – Warje,Karve Road near Deccan Gymkhana,Large pothole 60cm wide causing tyre damage. Three vehicles affected this week.,Citizen Portal,4,Pothole,Standard,"Classified as 'Pothole' based on complaint: ""Large pothole 60cm wide causing tyre damage. Three vehicles affected this week.""",
PM-202402,2024-06-04,Pune,Ward 3 – Kothrud,FC Road near MIT College junction,Deep pothole near bus stop. School children at risk during morning hours.,Councillor Referral,12,Pothole,Urgent,"Classified as 'Pothole' based on complaint: ""Deep pothole near bus stop. School children at risk during morning hours.""",
PM-202406,2024-06-08,Pune,Ward 1 – Kasba,Ambedkar Road underpass,Underpass flooded knee-deep after 2hrs rain. Commuters stranded.,Councillor Referral,8,Flooding,Standard,"Classified as 'Flooding' based on complaint: ""Underpass flooded knee-deep after 2hrs rain. Commuters stranded.""",
PM-202408,2024-06-05,Pune,Ward 3 – Kothrud,Kothrud Depot bus stand,Bus stand flooded. Passengers standing in water. Drain blocked.,Ward Office Walk-in,12,Drain Blockage,Standard,"Classified as 'Drain Blockage' based on complaint: ""Bus stand flooded. Passengers standing in water. Drain blocked.""",
PM-202410,2024-06-04,Pune,Ward 2 – Shivajinagar,JM Road near Goodluck Chowk,Three consecutive streetlights out for 10 days. Area very dark at night.,Email,18,Streetlight,Standard,"Classified as 'Streetlight' based on complaint: ""Three consecutive streetlights out for 10 days. Area very dark at night.""",
PM-202411,2024-06-22,Pune,Ward 2 – Shivajinagar,"Viman Nagar, Vadgaon Sheri Road",Streetlight flickering and sparking. Electrical hazard reported.,Social Media,9,Streetlight,Urgent,"Classified as 'Streetlight' based on complaint: ""Streetlight flickering and sparking. Electrical hazard reported.""",
PM-202413,2024-06-29,Pune,Ward 1 – Kasba,Shivajinagar market area,Overflowing garbage bins near vegetable market. Smell affecting shoppers.,WhatsApp Helpline,13,Waste,Standard,"Classified as 'Waste' based on complaint: ""Overflowing garbage bins near vegetable market. Smell affecting shoppers.""",
PM-202418,2024-06-02,Pune,Ward 4 – Warje,Kalyani Nagar residential zone,Wedding venue playing music past midnight on weeknights.,Citizen Portal,5,Noise,Standard,"Classified as 'Noise' based on complaint: ""Wedding venue playing music past midnight on weeknights.""",
PM-202419,2024-06-01,Pune,Ward 2 – Shivajinagar,Senapati Bapat Road,Road surface cracked and sinking near utility work done 1 month ago.,Social Media,2,Road Damage,Standard,"Classified as 'Road Damage' based on complaint: ""Road surface cracked and sinking near utility work done 1 month ago.""",
PM-202420,2024-06-03,Pune,Ward 1 – Kasba,Paud Road near Kothrud,Manhole cover missing. Risk of serious injury to cyclists.,Email,14,Other,Urgent,"Classified as 'Other' based on complaint: ""Manhole cover missing. Risk of serious injury to cyclists.""",NEEDS_REVIEW
PM-202427,2024-06-07,Pune,Ward 5 – Hadapsar,Erandwane depression near bridge,Bridge approach floods in 30mins of rain. Bridge becomes inaccessible.,Councillor Referral,12,Flooding,Standard,"Classified as 'Flooding' based on complaint: ""Bridge approach floods in 30mins of rain. Bridge becomes inaccessible.""",
PM-202428,2024-06-23,Pune,Ward 3 – Kothrud,Pune University Road,Dead animal not removed for 36 hours. Health concern.,Email,1,Other,Standard,"Classified as 'Other' based on complaint: ""Dead animal not removed for 36 hours. Health concern.""",NEEDS_REVIEW
PM-202430,2024-06-23,Pune,Ward 1 – Kasba,"Rasta Peth, old city area","Heritage street, lights out. Safety concern for pedestrians after dark.",Social Media,19,Streetlight,Standard,"Classified as 'Streetlight' based on complaint: ""Heritage street, lights out. Safety concern for pedestrians after dark.""",
PM-202433,2024-06-08,Pune,Ward 2 – Shivajinagar,Dhole Patil Road,Bulk waste from apartment renovation dumped on public road.,Phone Helpline,20,Waste,Standard,"Classified as 'Waste' based on complaint: ""Bulk waste from apartment renovation dumped on public road.""",
PM-202446,2024-06-09,Pune,Ward 2 – Shivajinagar,"Swargate, Tilak Road",Footpath tiles broken and upturned. Elderly resident fell last week.,Email,18,Other,Urgent,"Classified as 'Other' based on complaint: ""Footpath tiles broken and upturned. Elderly resident fell last week.""",NEEDS_REVIEW
